{42949925062, 112}
{42949925063, 111}
{42949925064, 110}
{17180205790, 132}
{42949925065, 112}
{51539654870, 104}
{17180205791, 139}
{17180205792, 145}
{51539741900, 104}
{51539654871, 103}
{42949925066, 104}
{51539741901, 104}
{17180205793, 151}
{51539654872, 102}
{318186, 105}
{51539741902, 107}
{17180205794, 158}
{318187, 104}
{17180205795, 167}
{318188, 106}
{51539741903, 108}
{17180205796, 185}
{318189, 103}
{60129808750, 116}
{51539741904, 107}
{17180205797, 207}
{60129808751, 125}
{51539741905, 105}
{60129808752, 123}
{17180205798, 227}
{51539741906, 105}
{8590174588, 102}
{51539741907, 103}
{17180205799, 231}
{25769913560, 146}
{25769913561, 125}
{412845, 111}
{8590174589, 114}
{17180085820, 105}
{17180085821, 105}
{25769913562, 123}
{51539653420, 104}
{17180270816, 122}
{34359863412, 132}
{17180085822, 183}
{25769913563, 128}
{17180270817, 128}
{51539653421, 106}
{25769913564, 123}
{17180085823, 265}
{51539653422, 102}
{17180270818, 207}
{17180270819, 233}
{51539653423, 101}
{25769913565, 112}
{17180085824, 268}
{51539653424, 101}
{17180085825, 266}
{25769913566, 105}
{25769913567, 102}
{51539653425, 101}
{25770143240, 136}
{51539653426, 101}
{25770143241, 133}
{51539653427, 101}
{25770143242, 143}
{25770143243, 151}
{25770143244, 141}
{25770143245, 132}
{17180168911, 103}
{25770143246, 123}
{17180168912, 101}
{25770143247, 115}
{25770143248, 103}
{42949925070, 102}
{25770244429, 102}
{42949925071, 119}
{42949925072, 141}
{42949925073, 150}
{42949925074, 155}
{8590174590, 117}
{42949925075, 160}
{8590174591, 118}
{51539650371, 101}
{42949925076, 166}
{8590174592, 120}
{42949925077, 170}
{8590174593, 121}
{42949925078, 170}
{17180270820, 248}
{8590174594, 118}
{42949925079, 173}
{8590174595, 115}
{17180270821, 236}
{17180270822, 174}
{8590174596, 101}
{17180270823, 146}
{17180270824, 138}
{25769863441, 102}
{17180270825, 115}
{25769863442, 105}
{17180270826, 104}
{34360125059, 119}
{25769863443, 102}
{25769863444, 101}
{25769966242, 102}
{25769966243, 111}
{17180205407, 110}
{17180205903, 101}
{17180205408, 129}
{25769966244, 115}
{25769966245, 122}
{17180205409, 146}
{17180205904, 107}
{17180205905, 132}
{25769966246, 124}
{17180205906, 144}
{25769966247, 127}
{17180205907, 164}
{25769966248, 131}
{17180205908, 184}
{25769966249, 131}
{17180205909, 185}
{42949778894, 147}
{42949778895, 147}
{42949925080, 179}
{42949778896, 147}
{42949778283, 129}
{42949925081, 182}
{42949778284, 138}
{42949778897, 147}
{42949925082, 186}
{42949925083, 191}
{42949778898, 147}
{42949925084, 193}
{34360124898, 117}
{42949778899, 122}
{34360124899, 106}
{17180205027, 113}
{42949925085, 201}
{42949925086, 204}
{17180205028, 129}
{34360125060, 121}
{42949925087, 209}
{34360125061, 121}
{17180205029, 150}
{17180086509, 101}
{42949925088, 209}
{34360001320, 102}
{34360125062, 120}
{42949925089, 207}
{34360125063, 111}
{34360001321, 106}
{34360125064, 107}
{34360001322, 110}
{34360125065, 104}
{34360001323, 119}
{17180205410, 163}
{17180036120, 103}
{51539965009, 101}
{17180036121, 157}
{34360125066, 103}
{17180205411, 183}
{17180036122, 216}
{25769813617, 105}
{17180205412, 199}
{42949924859, 109}
{60129591198, 113}
{17180205413, 208}
{17180036123, 274}
{34359862819, 117}
{25769813618, 107}
{60129591199, 119}
{17180205414, 216}
{17180036124, 284}
{25769966250, 133}
{25769966251, 133}
{17180205910, 182}
{17180036125, 287}
{17180205415, 221}
{17180205416, 236}
{25769966252, 134}
{17180036126, 304}
{17180205911, 176}
{17180036127, 276}
{25769966253, 135}
{17180205868, 108}
{17180205912, 173}
{17180205417, 243}
{17180205869, 128}
{60129701515, 113}
{17180205913, 170}
{25769966254, 136}
{17180036128, 223}
{17180205418, 245}
{25769966255, 137}
{17180205914, 164}
{17180036129, 223}
{17180205419, 244}
{60129701516, 110}
{25769966256, 137}
{17180205915, 153}
{17180205916, 130}
{25769966257, 137}
{42949964782, 110}
{17180205917, 105}
{42949964783, 111}
{25769966258, 135}
{42949964784, 111}
{17180205800, 236}
{25769966259, 133}
{17180205801, 239}
{42949964785, 108}
{17180205802, 245}
{17180252135, 109}
{17180205803, 250}
{17180252136, 139}
{17180205804, 254}
{34359862886, 131}
{17180205805, 260}
{17180205030, 167}
{34359862887, 115}
{17180205806, 268}
{17180205031, 186}
{17180205032, 201}
{17180205807, 279}
{42949925090, 207}
{17180205033, 208}
{17180205808, 288}
{42949925091, 207}
{17180205809, 276}
{17180205034, 218}
{51539987952, 103}
{42949925092, 205}
{51539987953, 104}
{17180205035, 222}
{42949925093, 203}
{51539987954, 105}
{42949925094, 202}
{17180205036, 239}
{42949924860, 131}
{34359862820, 132}
{42949924861, 182}
{17180205037, 247}
{42949925095, 179}
{17180205038, 248}
{42949924862, 213}
{42949939569, 103}
{42949925096, 155}
{34359862821, 120}
{17180086852, 263}
{42949939614, 122}
{42949925097, 134}
{17180205039, 246}
{42949924863, 213}
{42949924864, 217}
{42949924865, 222}
{42949924866, 222}
{17180205870, 146}
{17180205420, 245}
{17180036130, 219}
{17180205871, 156}
{42949924867, 224}
{17180205872, 160}
{42949924868, 224}
{17180036131, 203}
{17180270799, 120}
{17180205421, 245}
{17180205873, 165}
{17180205422, 238}
{17180036132, 200}
{42949924869, 224}
{17180205423, 228}
{17180205874, 168}
{17180036133, 208}
{17180036134, 213}
{25769966260, 126}
{17180205424, 216}
{17180205875, 171}
{17180205876, 175}
{25769966261, 126}
{17180205425, 213}
{17180036135, 217}
{25769966262, 125}
{17180036136, 235}
{17180205426, 207}
{17180205877, 180}
{17180205427, 197}
{17180036137, 236}
{17180205878, 185}
{25769966263, 125}
{17180205428, 172}
{17180036138, 227}
{17180205879, 190}
{25769966264, 118}
{17180036139, 218}
{25769966265, 118}
{25769966266, 106}
{25769966267, 103}
{42949884314, 109}
{17180205810, 262}
{42949884315, 151}
{17180205811, 274}
{17180205812, 256}
{17180205813, 204}
{17180205814, 187}
{42949939570, 111}
{17180205815, 176}
{17180205040, 245}
{42949939571, 121}
{17180205041, 246}
{17180205816, 169}
{42949939572, 130}
{17180085749, 114}
{17180205817, 162}
{42949939573, 125}
{17180205042, 239}
{42949939574, 102}
{17180205043, 230}
{17180205818, 152}
{17180205044, 217}
{17180205819, 149}
{17180205045, 212}
{17180205046, 205}
{42949924870, 225}
{17180168831, 137}
{42949924871, 229}
{51539650724, 102}
{17180205047, 186}
{42949924872, 230}
{17180205048, 166}
{51539650725, 110}
{42949924873, 229}
{51539650726, 109}
{51539650727, 110}
{42949924874, 219}
{51539650728, 113}
{42949924875, 207}
{42949924876, 202}
{17180205880, 195}
{51539650729, 104}
{42949884385, 101}
{42949924877, 196}
{17180036140, 212}
{8590164536, 128}
{17180205881, 200}
{42949884386, 116}
{17180036141, 211}
{17180205882, 203}
{42949884387, 121}
{42949924878, 172}
{8590164537, 134}
{17180036142, 201}
{42949884388, 119}
{8590164538, 153}
{42950002564, 107}
{17180205883, 210}
{8590164539, 167}
{17180205884, 208}
{42949884389, 141}
{17180036143, 185}
{17180205885, 202}
{17180036144, 176}
{17180205434, 121}
{17180205886, 189}
{17180036145, 134}
{17180205435, 128}
{17180036146, 104}
{17180205887, 182}
{17180205436, 132}
{17180205437, 131}
{17180205888, 169}
{17180205889, 159}
{17180205438, 131}
{60129591269, 224}
{17180205439, 129}
{17180085750, 145}
{17180085751, 160}
{25769966322, 101}
{17180205820, 141}
{25769966323, 107}
{17180085752, 173}
{42949778630, 101}
{17180085753, 184}
{25769966324, 112}
{17180205821, 134}
{8590161641, 127}
{25769966325, 114}
{17180205822, 128}
{17180085754, 176}
{60129591201, 140}
{42949778631, 101}
{17180205823, 121}
{17180085755, 178}
{60129591202, 145}
{25769966326, 123}
{25769966327, 128}
{17180205824, 120}
{17180085756, 178}
{60129591203, 168}
{60129591204, 168}
{17180085757, 192}
{25769966328, 127}
{17180085801, 113}
{17180205825, 117}
{17180085758, 195}
{17180085802, 148}
{25769966329, 124}
{17180205826, 114}
{60129591205, 130}
{60129591206, 101}
{17180085803, 157}
{17180085759, 197}
{42949914742, 101}
{17180205827, 106}
{51539650730, 101}
{17180085804, 169}
{42949914743, 102}
{17180205828, 103}
{42949914744, 102}
{17180085805, 175}
{42949914745, 101}
{17180205056, 121}
{51539650733, 101}
{42949884390, 137}
{51539650734, 102}
{17180205057, 132}
{8590164540, 169}
{51539650735, 103}
{42949884391, 139}
{17180205058, 131}
{42949884392, 131}
{17180205059, 130}
{42949884393, 127}
{42949884394, 114}
{42949884395, 103}
{17180205890, 144}
{60129591270, 225}
{17180205891, 128}
{17180205440, 128}
{60129591271, 289}
{17180205892, 124}
{17180205441, 126}
{17180205442, 125}
{60129591272, 325}
{17180205893, 117}
{17180205443, 118}
{17180205894, 111}
{60129591273, 325}
{60129591274, 326}
{51539966879, 102}
{17180205444, 112}
{17180205895, 104}
{17180205445, 102}
{60129591275, 165}
{34360024465, 122}
{25769966330, 122}
{34360024466, 196}
{17180085760, 198}
{25769966331, 121}
{34360024467, 181}
{17180085761, 198}
{25769966332, 115}
{34360024468, 163}
{17180270800, 132}
{34360024469, 148}
{25769966333, 112}
{17180270801, 143}
{17180085762, 209}
{318179, 102}
{17180085763, 220}
{17180205787, 108}
{17180270802, 156}
{25769966334, 106}
{42949778640, 101}
{17180205788, 120}
{17180270803, 161}
{42949778641, 101}
{17180085764, 231}
{17180205789, 125}
{17180085765, 249}
{17180270804, 135}
{51539965152, 101}
{17180085766, 251}
{42949938862, 104}
{17180205060, 128}
{17180085767, 257}
{17180205061, 127}
{42949938863, 107}
{17180205062, 126}
{42949938864, 124}
{60129808748, 108}
{17180205063, 123}
{42949938865, 128}
{17180205064, 117}
{60129808749, 111}
{34359828170, 105}
{17180205065, 111}
{34359828171, 120}
{17180205066, 101}
{34359828172, 132}
{25770143231, 102}
{34359828173, 121}
{34359828174, 111}
{25770143232, 103}
{17180085819, 105}
{25770143233, 104}
{25770143234, 109}
{25770143235, 113}
{25770143236, 124}
{25770143237, 125}
{25770143238, 125}
{25770143239, 134}
{318180, 102}
{42949925061, 105}
