{25769966291, 514}
{34360024471, 304}
{318181, 293}
{51539744525, 212}
{34360126658, 325}
{34360126659, 310}
{34360024472, 206}
{51539744526, 218}
{25769966292, 514}
{318182, 298}
{25769966293, 516}
{17180205790, 324}
{51539744527, 226}
{318183, 297}
{318184, 302}
{51539744528, 230}
{25770239130, 305}
{25769966294, 518}
{17180205791, 335}
{25770239131, 338}
{42949925110, 244}
{17180205792, 350}
{51539741900, 230}
{318185, 299}
{51539744529, 236}
{25769966295, 517}
{318186, 296}
{25769966296, 516}
{42949925111, 251}
{42949925067, 213}
{51539741901, 229}
{17180205793, 360}
{25769966340, 251}
{51539741902, 225}
{318187, 296}
{25770239133, 245}
{42949925068, 244}
{25769966297, 517}
{25769966341, 250}
{42949925112, 254}
{17180205794, 371}
{318188, 295}
{25769966342, 249}
{42949925113, 243}
{25770239134, 255}
{17180205795, 377}
{25769966298, 517}
{25770238900, 299}
{42949925069, 265}
{51539741903, 220}
{42949925114, 243}
{17180205796, 415}
{25769966299, 517}
{51539741904, 219}
{318189, 297}
{25770239135, 266}
{60129808750, 214}
{25769966343, 248}
{17180205840, 255}
{25770238902, 231}
{17180205797, 446}
{25770239136, 278}
{60129808751, 214}
{17180205841, 246}
{25769966344, 247}
{51539741905, 218}
{17180270813, 239}
{60129808752, 214}
{25770238903, 239}
{17180205842, 239}
{25769966345, 246}
{17180205798, 458}
{51539741906, 218}
{25769966346, 246}
{51539741907, 201}
{25769863430, 266}
{17180205843, 232}
{255470, 225}
{17180205799, 466}
{25769913560, 355}
{25770238904, 250}
{17180270814, 302}
{25769966347, 242}
{25769863431, 268}
{255471, 221}
{17180270815, 326}
{25769913561, 345}
{412845, 204}
{25770238905, 263}
{17180085820, 351}
{17180085821, 353}
{51539741909, 202}
{25769966348, 239}
{25769863432, 271}
{255472, 214}
{25769966230, 219}
{25769913562, 344}
{25770238906, 268}
{17180270816, 335}
{34360124040, 252}
{25770238907, 282}
{25769966231, 222}
{17180205846, 205}
{17180270817, 334}
{255473, 210}
{25769863433, 273}
{34359863412, 285}
{17180085822, 363}
{25769966349, 233}
{25769913563, 335}
{25770238908, 286}
{25769863434, 274}
{17180182780, 218}
{17180205847, 217}
{25769913564, 329}
{25769966232, 233}
{17180085823, 412}
{34359863413, 272}
{17180270818, 333}
{25769863435, 275}
{17180085824, 425}
{25770238909, 284}
{17180205848, 231}
{17180182781, 249}
{17180270819, 330}
{25769913565, 326}
{25769966233, 233}
{34359863414, 271}
{25769863436, 275}
{25769913566, 315}
{34359863415, 269}
{17180205849, 248}
{17180085825, 433}
{25769966234, 233}
{25769913567, 308}
{34359863416, 263}
{34360124045, 217}
{25769966235, 233}
{25769863437, 274}
{25769863438, 274}
{25769862998, 233}
{25769966236, 233}
{25769913568, 293}
{25770143240, 209}
{25769862999, 246}
{25769863439, 272}
{25769913569, 281}
{25770143241, 209}
{25769966237, 233}
{25769966238, 233}
{25770143242, 209}
{25769966239, 233}
{25770143243, 209}
{25770070794, 208}
{25770143244, 209}
{25770070795, 213}
{34360126660, 293}
{34360126661, 292}
{25770143245, 209}
{25770070796, 224}
{34360126662, 267}
{25770143246, 209}
{25770070797, 235}
{51539744530, 244}
{25770143247, 209}
{60129818333, 227}
{42949884460, 258}
{34360126663, 244}
{25770070798, 237}
{25770070799, 210}
{51539744531, 252}
{25770143248, 209}
{60129818334, 211}
{34360126664, 225}
{51539741976, 205}
{51539744532, 262}
{25770143249, 202}
{60129818335, 205}
{51539741977, 201}
{34360126665, 201}
{51540002200, 222}
{34359864038, 211}
{51539744533, 270}
{42949925070, 326}
{51540002201, 224}
{318190, 291}
{51539744534, 278}
{34359864039, 252}
{42949925071, 324}
{17180181948, 201}
{318191, 253}
{51540002202, 235}
{17180181949, 202}
{51539744535, 283}
{17180205014, 264}
{42949925072, 316}
{42949925073, 311}
{17180205015, 279}
{51540002203, 247}
{51539744536, 289}
{17180205016, 292}
{42949925074, 303}
{51539744537, 298}
{51540002204, 250}
{25770239140, 209}
{17180205017, 304}
{42949925075, 295}
{51539744538, 301}
{51540002205, 252}
{51539744539, 303}
{42949925076, 291}
{51539741910, 202}
{25769813718, 208}
{51540002206, 255}
{17180205018, 322}
{51540002207, 262}
{25769966350, 233}
{51539741911, 202}
{17180205019, 336}
{42949925077, 289}
{17180204624, 216}
{51540002208, 275}
{42949925078, 289}
{51539741912, 203}
{25769966351, 233}
{25770238910, 283}
{51540002209, 282}
{17180270820, 312}
{17180204625, 232}
{25769966352, 233}
{42949925079, 288}
{17180205850, 254}
{25769966353, 233}
{17180270821, 304}
{25770238911, 282}
{25769966354, 233}
{17180270822, 294}
{25770238912, 284}
{17180205400, 344}
{17180205851, 254}
{17180270823, 290}
{17180205852, 253}
{25770238869, 229}
{25770238913, 293}
{17180205401, 358}
{25769966355, 233}
{17180205402, 379}
{17180270824, 286}
{17180205853, 254}
{25769966356, 233}
{25769913570, 251}
{25769863440, 270}
{25770238915, 289}
